,userid,payorder,general_isgroup,paid,state,买手入驻申请,入驻,分享有奖,拼团详情,火球买手
209,5ad04c3bd0d3372f53594c86,0,,,,,,,,
210,5ad07778ecfb9e2e3a1ed414,0,,,,,,,,
211,5acf889fc65e2e1663ffd440,0,,,,,,,,
212,5ad097acb40344705729c01d,1,,,,,,,,
213,5ad0cd832dbd85702ab6f2ca,0,,,,,,,,
214,5acffd9a606d0c6b2d10edad,0,,,,,,,,
215,5ad01413d0d3372f534c6a5d,0,,,,,,,,
216,5acf94c7606d0c6b2d09de5d,0,,,,,,,,
217,5ad0882df716a54769938c43,0,,,,,,,,
218,5acf947c129734151727745d,0,,,,,,,,
219,5ad04a8f897de547638247c9,0,,,,,,,,
220,5ad07e7922defc47ea2f5f0b,0,,,,,,,,
221,5ad08fad699cc62e4614c6e0,0,,,,,,,,
222,5acff8501f97433851bcf38d,1,,,,,,,,
223,5ad0627d2d0c2a2e3fd4caca,0,,,,,,,,
224,5ad0d3dd2e6b536f0f458692,0,,,,,,,,
225,5ad05f25e1eefe4896007033,0,,,,,,,,
226,5ad06476450fbc6efed3dec2,0,,,,,,,,
227,5ad0b30d450fbc6efee4aec1,0,,,,,,,,
228,5ad0a47c22defc47ea378f43,0,,,,,,,,
229,5ad025ca64fc0b4848422a1d,0,,,,,,,,
230,5ad047b9897de5476381a7ac,0,,,,,,,,
231,5acecba229f24204cb87bb63,0,,,,,,,,
232,5ad0155b0a6fa92f887acd2d,0,,,,,,,,
233,5ad06cad699cc62e460d597b,0,,,,,,,,
234,5ad0a86f64fc0b48485effa8,0,,,,,,,,
235,5ad061e2bf06f46f097d4c41,0,,,,,,,,
236,58d397dc32d1732029cb68a0,0,,,,,,,,
237,5ad0001a7b9a58385d11f79c,1,,,,,,,,
238,5ad00becb96dcb3959f4db14,0,,,,,,,,
239,5ad06f39699cc62e460dd915,1,,,,,,,,
240,592b8a47c8c9bf2c8bb0943f,0,,,,,,,,
241,5acf50b20d39e8150c973865,0,,,,,,,,
242,5ad06624c077bc7009782107,0,,,,,,,,
243,5ad08debd0d3372f536752f7,0,,,,,,,,
244,5ad0a208bf06f46f098b5c1a,0,,,,,,,,
245,5ad0967af4edea6f0461b471,0,,,,,,,,
246,5ad06e9b64fc0b48485247a3,1,,,,0.0,0.0,1.0,0.0,0.0
247,5ad00efa7b9a58385d153892,0,,,,,,,,
248,5ad0d071c077bc700990e5b7,0,,,,,,,,
249,5ad00d7fc65e2e16630bc3e3,1,,,,,,,,
250,5ad0027bc65e2e1663093599,0,,,,,,,,
251,5ad08618e1eefe489608d198,0,,,,,,,,
252,5ad04f7dd0d3372f5359fb19,0,,,,,,,,
253,5ace1dbe290c2804c2c5d022,0,,,,,,,,
254,5ad0ba85d0d3372f5371ab0c,0,,,,,,,,
255,5ad016f6450fbc6efec2af7d,0,,,,,,,,
256,5acf83118471893981ab0ce6,0,,,,,,,,
257,5ad0d0f8e1eefe48961a9d44,0,,,,,,,,
258,5ad07181d0d3372f53613b33,0,,,,,,,,
259,5ad0687d5fabdf47f00f6941,0,,,,,,,,
260,5ad012f31198a238574f0f5d,0,,,,,,,,
261,5ad0baae1f0ca62f3b26b840,0,,,,,,,,
262,5ad07554ecfb9e2e3a1e5e96,1,,,,,,,,
263,5acfa21c5f3ad56a0647d367,0,,,,,,,,
264,5ad02d85f4edea6f044a8403,0,,,,,,,,
265,5acf8ac93dd6406a87f40602,0,,,,,,,,
266,5ad029162e6b536f0f1e8fe1,0,,,,,,,,
