,userid,y
145,5ad6180cb05c0a0ee6fafc58,0
146,5ad158aa5fabdf47f0342bb0,0
147,5ad8c1bff02a222eeb54ef2b,1
148,5ada057599833e560575323a,0
149,5ad5a8e6295cd56b84ab6da6,0
150,5ad425dd0a6fa92f882f005d,1
151,5ad2e4fab31aaa70212109d5,0
152,5ad0c00758f66b2e349d83b8,0
153,5ad16d930a6fa92f88b649c6,0
154,5ad1b5ae2dbd85702ad818a1,0
155,5ad33b381f0ca62f3b9024db,0
156,5ad1ce55b54aae483e8a3cb7,0
157,5ad20d3e0a6fa92f88d89007,0
158,5ad881dcb7252e2dee6bc4b8,1
159,5ad03d22b403447057162dc3,0
160,5ad9c9b8fdb0032d7bc8087d,1
161,5ad5da735d3fa40d7570c116,0
162,5ad6e6e11af2a10286e37161,1
163,5ad014d9f4edea6f044499e3,1
164,5ad895acea15f22e1d25e688,1
165,5ad6bd4430fd0234a19c97cd,0
166,5ad68b6e7610fa34a7e919d0,1
167,5ad73d5b1c5e4151a390ee67,0
168,5ad08779d0d3372f5365ff2a,1
169,5ad6cf0c9b89de032c3d633a,0
170,5ad9cf5fc3e6312f16756e4d,1
171,5ad5e1d95913f001e8522ea1,0
172,5ad560bea7ee6338afe7a69e,0
173,5ad1dd49ecfb9e2e3a5bebb1,0
174,5ad31e0b2862a62f34de10a5,0
175,5ad87b32f02a222eeb4355fb,0
176,5ad02d06c077bc70096b5b80,0
177,5ad6f3c8f885c13600428881,0
178,5ad9711eed624f2d75981805,1
179,5ad37c682e6b536f0fb94044,0
180,5ad69250d4de660e8e2572a6,0
181,5ad0dad40a6fa92f88a80068,1
182,5ad0b19af716a547699cdd15,1
183,5ad1fc045fabdf47f05755b5,0
184,5ad71f37f885c136004cec0e,0
185,5ad0b3b6bf06f46f098f77f9,0
186,5ad7f13a6eabd43e426c43ca,0
187,5ad4553253dcab1b57557f6a,0
188,5ad752f6f729e13ec37c6634,0
189,5ada0162dc59da2dcbf11fcb,1
190,5ad2f8b0f716a54769fa3a03,0
191,5ad158bed0d3372f53836138,0
192,5ad1737eb403447057499bdf,0
193,5ad70c2dafde0a35f0e71e59,1
194,5ad3559c699cc62e468c2222,0
195,5ad0a971699cc62e461a521d,1
196,5ad7fc709a0eb951e306dff2,1
197,5ad4bd894961eb223084c347,0
198,5ad7dc82f7f7693f1c0f42cc,0
199,5ad232fd6b4d03488a2c1374,1
200,5ad194e364fc0b4848830a09,0
201,5ad34b622862a62f34e7f33c,0
202,5ad352d1450fbc6efe5518ec,1
203,5acf83bd5f081c394d9b60b7,0
204,5ad82edb8040ab7bc69615cb,0
205,5ad15805b403447057435734,0
206,5ad95673eaff502dc3ed9bc5,1
207,5ad8b786eaff502dc3da4d6d,1
208,5ad2b0731f0ca62f3b71bc25,0
209,5ad1f0c0c077bc7009bdc637,0
210,5ad382adb54aae483ed9daea,0
211,5ad192ffd0d3372f539091c0,1
212,5ad57b2697ea1d2db7b68447,0
213,5ad8572beaff502dc3c2debd,0
214,5ad8a1ace9b0c05516054010,0
215,5ad743f004f3613e487b2ea7,0
216,5ad15bcf58f66b2e34ae9ac7,0
217,5ad355e9b54aae483ece8421,0
218,5ad788082b0a6e3f17730bb1,1
219,5ad3320f897de5476302a3b8,0
220,5ad9c946ed624f2d75ac9e78,0
221,5ad3eccdc077bc70090cb671,0
222,5ad837aad0da2711f7744bd4,0
223,5ad9a0a299cd782e23e290da,1
224,5ada032af02a222eeb906f33,1
225,5ad1ba8722defc47ea641c3c,0
226,5ad73381bb3a711dbb6ece4f,0
227,5ad829d5d0da2711f7710f8d,1
228,5ad8ab6deaff502dc3d6c891,1
229,5ad66ea2e997750d7b197a69,1
230,5ad62648e7772c02c2586446,1
231,5ad6a5b5b05c0a0ee60ae84a,1
232,5ad2c0b022defc47ea8c74f2,0
233,5ad7201886ada21d6859c102,1
234,5acffcac0d39e8150cad1d1f,1
235,5ad9d4cec3e6312f1676b551,0
236,5ad96df40966b92de167947e,0
237,5ad09a802862a62f34734e35,0
238,5ad03d88f4edea6f044e5747,0
239,5ad99f30ea15f22e1d540f0e,0
240,5ad41a142d0c2a2e3f73b605,1
241,5ad62804e997750d7b17570a,0
242,5ad6ec16877bb10eb1470f12,1
243,5acfd9f49cf679386358b143,0
244,5ad94a4c1cbf5f565cbdf691,0
245,5ad1a561bf06f46f09b43162,0
246,5ad84ecf8035845523a6a927,0
247,5ad74a22ef2ae95065cb98b4,0
248,5ad8182c7c944b7bc04072c1,0
249,5ad8b53bc3e6312f1645bb61,1
250,5ad8918ad5b3a956161df1ef,0
251,5ad7356bcf40ed50729de330,0
252,5ad42eab2d0c2a2e3f78abd3,0
253,5ad552d94758411fda10dea6,0
254,5ad7421118a1443f74e9957f,0
255,5ad9b4461cbf5f565cd7b009,0
256,5ad4c0ccca981438f73f5206,0
257,5ad2b1ea5fabdf47f06e0dd2,0
258,5ad0a13becfb9e2e3a27c255,0
259,5ad42ba9f4edea6f04fa8482,0
260,5ad313f66b4d03488a4ba81e,0
261,5ad87a3d0b5c27551cef0473,1
262,5ad603b9877bb10eb11e3aa4,0
263,5ad217b81f0ca62f3b62324d,1
264,5ad02a08f4edea6f0449b803,0
265,5ad8730beaff502dc3c92b33,0
266,5ad6c38fafde0a35f0d4761e,0
267,5ad7bfa59a0eb951e3faff8a,1
268,5ad3134b2862a62f34dbb28c,0
269,5ad06d89f4edea6f0458ea11,1
270,5ad001878471893981b4fc97,0
271,5ad3608e897de547630d2164,0
272,5ad6e8c29b89de032c442d85,0
273,5ad8073fa91bfc5489fcee26,0
274,5ad9cc1dfef42f2ef011ff6b,0
275,5ad2fc51c077bc7009e7a7ab,0
276,5ad029066b4d03488ac93651,0
277,5ad9978d1cbf5f565cd0e057,0
278,5ad57b51be6ec43cf704a6c4,0
279,5ad538448883a02335fc3414,0
280,5ad0d548d0d3372f537898ba,0
281,5ad5eafcf885c13600107a33,1
282,5acff1566077d1151e975dbe,0
283,5ad76ca5ef2ae95065d60da7,1
284,5ad99355eaff502dc3fc197d,0
285,5ad9eb85eaff502dc3116b26,0
286,5ad5fb906473c702c8617e78,1
287,5ad69e216473c702c8790544,1
288,5ad4088d699cc62e46a3fef5,0
289,5ad9d80eb7252e2deeab8de6,1
290,5ad8625f9137a155ff10a121,1
291,5ad6c9ac7610fa34a7f963d1,0
292,5ada07a5f02a222eeb91bc49,0
293,5ad55812a7ee6338afe5670f,0
294,5ad86fab8035845523adf89c,0
295,5ad42621e1eefe4896a4b6f8,1
296,5ad41665b403447057bd912f,0
297,5ad2d948e1eefe48966a3e11,0
298,5ad968f0ea15f22e1d46d310,0
299,5ad716f95d3fa40d75ade0aa,0
300,5ad315ffc077bc7009ed48ea,0
301,5ad4d274ca981438f742f128,0
302,5ad5625268465422269f9079,1
303,5ad1d7b0f716a54769cbb35b,0
304,5ad9e994c3e6312f167be5a5,0
305,5ad78338619cf01c742ca7a8,1
306,5ad095ff0a6fa92f88976cc7,1
307,5ad5e4f665962201ed17ac87,1
308,5ad2ca8db4034470578354fa,0
309,5ad46e0e6b09d27e205eda9f,0
310,5ad96aadc3e6312f165e41ec,0
311,5ad2d322699cc62e46704e92,0
312,5ad3f0062d0c2a2e3f69989c,1
313,5ad48bbdb853551fbb61b3df,0
314,5ad49a248883a02335e7fd08,0
315,5ad86d12fef42f2ef0d135f6,0
316,5ad9df56fffa605511d7c9a9,0
317,5acf8cbf8e3ce2165718043c,1
318,5ad742e96eabd43e4252ba9c,0
319,5ad098c7c077bc7009831e71,0
320,5ad01d8e2862a62f34581532,1
